officer_id,name,assigned_station,email,phone,shift,rank
OFF_R.T._NAGAR_01,Ramesh Kumar,R.T. NAGAR,off_r.t._nagar_01@btp-demo.example,+91-98334899108,day,ASI
OFF_R.T._NAGAR_02,Suresh Singh,R.T. NAGAR,off_r.t._nagar_02@btp-demo.example,+91-98706467228,day,ASI
OFF_R.T._NAGAR_03,Mahesh Reddy,R.T. NAGAR,off_r.t._nagar_03@btp-demo.example,+91-98387303219,day,ASI
OFF_R.T._NAGAR_04,Ganesh Naidu,R.T. NAGAR,off_r.t._nagar_04@btp-demo.example,+91-98231260092,night,HC
OFF_R.T._NAGAR_05,Venkatesh Rao,R.T. NAGAR,off_r.t._nagar_05@btp-demo.example,+91-98832142075,night,HC
OFF_RAJAJINAGAR_01,Ramesh Kumar,RAJAJINAGAR,off_rajajinagar_01@btp-demo.example,+91-98314566566,day,ASI
OFF_RAJAJINAGAR_02,Suresh Singh,RAJAJINAGAR,off_rajajinagar_02@btp-demo.example,+91-98730363543,day,ASI
OFF_RAJAJINAGAR_03,Mahesh Reddy,RAJAJINAGAR,off_rajajinagar_03@btp-demo.example,+91-98526123965,day,ASI
OFF_RAJAJINAGAR_04,Ganesh Naidu,RAJAJINAGAR,off_rajajinagar_04@btp-demo.example,+91-98768975720,night,HC
OFF_RAJAJINAGAR_05,Venkatesh Rao,RAJAJINAGAR,off_rajajinagar_05@btp-demo.example,+91-98650715103,night,HC
OFF_SADASHIVANAGAR_01,Ramesh Kumar,SADASHIVANAGAR,off_sadashivanagar_01@btp-demo.example,+91-98580323104,day,ASI
OFF_SADASHIVANAGAR_02,Suresh Singh,SADASHIVANAGAR,off_sadashivanagar_02@btp-demo.example,+91-98569715258,day,ASI
OFF_SADASHIVANAGAR_03,Mahesh Reddy,SADASHIVANAGAR,off_sadashivanagar_03@btp-demo.example,+91-98736780042,day,ASI
OFF_SADASHIVANAGAR_04,Ganesh Naidu,SADASHIVANAGAR,off_sadashivanagar_04@btp-demo.example,+91-98330652502,night,HC
OFF_SADASHIVANAGAR_05,Venkatesh Rao,SADASHIVANAGAR,off_sadashivanagar_05@btp-demo.example,+91-98878375899,night,HC
OFF_SHESHADRIPURAM_01,Ramesh Kumar,SHESHADRIPURAM,off_sheshadripuram_01@btp-demo.example,+91-98978261632,day,ASI
OFF_SHESHADRIPURAM_02,Suresh Singh,SHESHADRIPURAM,off_sheshadripuram_02@btp-demo.example,+91-98879709734,day,ASI
OFF_SHESHADRIPURAM_03,Mahesh Reddy,SHESHADRIPURAM,off_sheshadripuram_03@btp-demo.example,+91-98586514360,day,ASI
OFF_SHESHADRIPURAM_04,Ganesh Naidu,SHESHADRIPURAM,off_sheshadripuram_04@btp-demo.example,+91-98630725234,night,HC
OFF_SHESHADRIPURAM_05,Venkatesh Rao,SHESHADRIPURAM,off_sheshadripuram_05@btp-demo.example,+91-98500919976,night,HC
OFF_SHIVAJINAGAR_01,Ramesh Kumar,SHIVAJINAGAR,off_shivajinagar_01@btp-demo.example,+91-98620053422,day,ASI
OFF_SHIVAJINAGAR_02,Suresh Singh,SHIVAJINAGAR,off_shivajinagar_02@btp-demo.example,+91-98853139678,day,ASI
OFF_SHIVAJINAGAR_03,Mahesh Reddy,SHIVAJINAGAR,off_shivajinagar_03@btp-demo.example,+91-98597114936,day,ASI
OFF_SHIVAJINAGAR_04,Ganesh Naidu,SHIVAJINAGAR,off_shivajinagar_04@btp-demo.example,+91-98243993481,night,HC
OFF_SHIVAJINAGAR_05,Venkatesh Rao,SHIVAJINAGAR,off_shivajinagar_05@btp-demo.example,+91-98322608697,night,HC
OFF_THALAGATTAPURA_01,Ramesh Kumar,THALAGATTAPURA,off_thalagattapura_01@btp-demo.example,+91-98196017763,day,ASI
OFF_THALAGATTAPURA_02,Suresh Singh,THALAGATTAPURA,off_thalagattapura_02@btp-demo.example,+91-98913032518,day,ASI
OFF_THALAGATTAPURA_03,Mahesh Reddy,THALAGATTAPURA,off_thalagattapura_03@btp-demo.example,+91-98598949625,day,ASI
OFF_THALAGATTAPURA_04,Ganesh Naidu,THALAGATTAPURA,off_thalagattapura_04@btp-demo.example,+91-98615370509,night,HC
OFF_THALAGATTAPURA_05,Venkatesh Rao,THALAGATTAPURA,off_thalagattapura_05@btp-demo.example,+91-98670489578,night,HC
OFF_UPPARPET_01,Ramesh Kumar,UPPARPET,off_upparpet_01@btp-demo.example,+91-98637186752,day,ASI
OFF_UPPARPET_02,Suresh Singh,UPPARPET,off_upparpet_02@btp-demo.example,+91-98991029909,day,ASI
OFF_UPPARPET_03,Mahesh Reddy,UPPARPET,off_upparpet_03@btp-demo.example,+91-98787729094,day,ASI
OFF_UPPARPET_04,Ganesh Naidu,UPPARPET,off_upparpet_04@btp-demo.example,+91-98738627080,night,HC
OFF_UPPARPET_05,Venkatesh Rao,UPPARPET,off_upparpet_05@btp-demo.example,+91-98150367262,night,HC
OFF_V.V.PURAM_(C.PET)_01,Ramesh Kumar,V.V.PURAM (C.PET),off_v.v.puram_(c.pet)_01@btp-demo.example,+91-98528547881,day,ASI
OFF_V.V.PURAM_(C.PET)_02,Suresh Singh,V.V.PURAM (C.PET),off_v.v.puram_(c.pet)_02@btp-demo.example,+91-98231916662,day,ASI
OFF_V.V.PURAM_(C.PET)_03,Mahesh Reddy,V.V.PURAM (C.PET),off_v.v.puram_(c.pet)_03@btp-demo.example,+91-98301251037,day,ASI
OFF_V.V.PURAM_(C.PET)_04,Ganesh Naidu,V.V.PURAM (C.PET),off_v.v.puram_(c.pet)_04@btp-demo.example,+91-98321660859,night,HC
OFF_V.V.PURAM_(C.PET)_05,Venkatesh Rao,V.V.PURAM (C.PET),off_v.v.puram_(c.pet)_05@btp-demo.example,+91-98671891506,night,HC
OFF_VIJAYANAGARA_01,Ramesh Kumar,VIJAYANAGARA,off_vijayanagara_01@btp-demo.example,+91-98556217397,day,ASI
OFF_VIJAYANAGARA_02,Suresh Singh,VIJAYANAGARA,off_vijayanagara_02@btp-demo.example,+91-98324500411,day,ASI
OFF_VIJAYANAGARA_03,Mahesh Reddy,VIJAYANAGARA,off_vijayanagara_03@btp-demo.example,+91-98807370126,day,ASI
OFF_VIJAYANAGARA_04,Ganesh Naidu,VIJAYANAGARA,off_vijayanagara_04@btp-demo.example,+91-98738718747,night,HC
OFF_VIJAYANAGARA_05,Venkatesh Rao,VIJAYANAGARA,off_vijayanagara_05@btp-demo.example,+91-98847172348,night,HC
OFF_WHITEFIELD_01,Ramesh Kumar,WHITEFIELD,off_whitefield_01@btp-demo.example,+91-98400252146,day,ASI
OFF_WHITEFIELD_02,Suresh Singh,WHITEFIELD,off_whitefield_02@btp-demo.example,+91-98671540654,day,ASI
OFF_WHITEFIELD_03,Mahesh Reddy,WHITEFIELD,off_whitefield_03@btp-demo.example,+91-98216164119,day,ASI
OFF_WHITEFIELD_04,Ganesh Naidu,WHITEFIELD,off_whitefield_04@btp-demo.example,+91-98632617752,night,HC
OFF_WHITEFIELD_05,Venkatesh Rao,WHITEFIELD,off_whitefield_05@btp-demo.example,+91-98061426956,night,HC
OFF_WILSON_GARDEN_01,Ramesh Kumar,WILSON GARDEN,off_wilson_garden_01@btp-demo.example,+91-98537388730,day,ASI
OFF_WILSON_GARDEN_02,Suresh Singh,WILSON GARDEN,off_wilson_garden_02@btp-demo.example,+91-98712785166,day,ASI
OFF_WILSON_GARDEN_03,Mahesh Reddy,WILSON GARDEN,off_wilson_garden_03@btp-demo.example,+91-98960287098,day,ASI
OFF_WILSON_GARDEN_04,Ganesh Naidu,WILSON GARDEN,off_wilson_garden_04@btp-demo.example,+91-98578509354,night,HC
OFF_WILSON_GARDEN_05,Venkatesh Rao,WILSON GARDEN,off_wilson_garden_05@btp-demo.example,+91-98405004278,night,HC
OFF_YELAHANKA_01,Ramesh Kumar,YELAHANKA,off_yelahanka_01@btp-demo.example,+91-98194985828,day,ASI
OFF_YELAHANKA_02,Suresh Singh,YELAHANKA,off_yelahanka_02@btp-demo.example,+91-98946764390,day,ASI
OFF_YELAHANKA_03,Mahesh Reddy,YELAHANKA,off_yelahanka_03@btp-demo.example,+91-98968695476,day,ASI
OFF_YELAHANKA_04,Ganesh Naidu,YELAHANKA,off_yelahanka_04@btp-demo.example,+91-98435908709,night,HC
OFF_YELAHANKA_05,Venkatesh Rao,YELAHANKA,off_yelahanka_05@btp-demo.example,+91-98382024990,night,HC
OFF_YESHWANTHPURA_01,Ramesh Kumar,YESHWANTHPURA,off_yeshwanthpura_01@btp-demo.example,+91-98071156949,day,ASI
OFF_YESHWANTHPURA_02,Suresh Singh,YESHWANTHPURA,off_yeshwanthpura_02@btp-demo.example,+91-98025141555,day,ASI
OFF_YESHWANTHPURA_03,Mahesh Reddy,YESHWANTHPURA,off_yeshwanthpura_03@btp-demo.example,+91-98529290831,day,ASI
OFF_YESHWANTHPURA_04,Ganesh Naidu,YESHWANTHPURA,off_yeshwanthpura_04@btp-demo.example,+91-98574723267,night,HC
OFF_YESHWANTHPURA_05,Venkatesh Rao,YESHWANTHPURA,off_yeshwanthpura_05@btp-demo.example,+91-98461423886,night,HC
